Nome struttura;Indirizzo;Tipo struttura;Note;;;;
Hotel Al Bosco;Via Bosco, 1/C - 37060, Sona;Alberghiero;;;;;
Albarello;Via Albarello Di Sotto, 5 - 37060, Palazzolo;Alberghiero;Agriturismo;;;;
Albarosa;Località Punte, 6 - 37060, Palazzolo;Alberghiero;Agriturismo;;;;
Antica Dimora del Turco;Località Turco, 2 - 37060, San Giorgio In Salici;Alberghiero;Agriturismo;;;;
"Antica Corte ""La Valle""";Località Cavecchia, 1 - 37060, Sona;Alberghiero;Agriturismo;;;;
Belvivere Suites;Località Cavecchia, 4 - 37060, Sona;Alberghiero;Agriturismo;;;;
Ca' Vecia;Via Ca' Vecchia Ferrari, 1 - 37060, San Giorgio In Salici;Alberghiero;Agriturismo;;;;
Colombarola;Via Colombarola, 2 - 37060, San Giorgio In Salici;Alberghiero;Agriturismo;;;;
Corte Albarel;Via Albarello Di Sotto, 1 - 37060, Palazzolo;Alberghiero;Agriturismo;;;;
Dei Grippi;Via Colombarola, 4 - 37060, San Giorgio In Salici;Alberghiero;Agriturismo;;;;
El Bacan;Via Verona, 11 - 37060, Sona;Alberghiero;Agriturismo;;;;
Fasoli;Via Bussolengo, 11 - 37060, Lugagnano;Alberghiero;Agriturismo;;;;
Fattoria Le Mase;Via Bussolengo, 13/E - 37060, Lugagnano;Alberghiero;Agriturismo;;;;
Brolin;Località Brolinetto, 2 - 37060, San Giorgio In Salici;Alberghiero;Agriturismo;;;;
Tenuta Corte Tese;Via Tezze, 2 - 37060, San Giorgio In Salici;Alberghiero;Agriturismo;;;;
Lonardi;Via Albarello Di Sopra, 4 - 37060, Palazzolo;B&B;2 STELLE;;;;
Castel Morino;Via Morino, 3 - 37060, Sona;B&B;4 STELLE;;;;
Corte Tacconi;Via Casette Di Sotto, 2 - 37060, Palazzolo;B&B;2 STELLE;;;;
La Cherubina;Via Giuseppe Lugo, 1 - 37060, San Giorgio In Salici;B&B;2 STELLE;;;;
Relais des Roches;Via Caliari, 8 - 37060, San Giorgio In Salici;B&B;2 STELLE;;;;
Sesto Armonico;Via Papa Albino Luciani, 4 - 37060, Palazzolo;B&B;4 STELLE;;;;
Villa Bianca;Via Don Luigi Sturzo, 1 - 37060, Palazzolo;B&B;3 STELLE;;;;
Villa Gloriana;Via Boschette, 1/A - 37060, San Giorgio In Salici;B&B;2 STELLE;;;;
Al Pigno;Via Rosolotti, 8 - 37060, San Giorgio In Salici;Alberghiero;Affittacamere;;;;
Corte Guastalla;Via Guastalla Vecchia, 9 - 37060, San Giorgio In Salici;Alberghiero;Affittacamere;;;;
