Nome struttura;Indirizzo;Tipo struttura;Note;;;;
CORTE DEL PAGGIO;Via Brughiero, n. 74;Alberghiero;;;;;
EDEN;Via D. G. Beltrame, n. 10;Alberghiero;;;;;
BASTIA;Via Bastia, n. 14;Alberghiero;;;;;
HOTEL AGLI ULIVI;località Pasquali, n. 24;Alberghiero;;;;;
MARA;località Casa Mara, n. 4;Alberghiero;;;;;
BUE D'ORO;Via Marsala, n. 15;Alberghiero;;;;;
FACCIOLI -;Via Tiepolo, n. 4;Alberghiero;;;;;
BELVEDERE;località S. Lucia ai Monti, n. 12 ;Alberghiero;;;;;
AL CACCIATORE;Via Circonv.ne Sud, n. 14 - 16 ;Alberghiero;;;;;
CORTE REGIA RELAIS & SPA;Via Giotto, n. 2;Alberghiero;;;;;
IL FILO';Via San Giorgio, n. 1145;B&B;;;;;
MARISA;Località Fontanello, n. 8;B&B;;;;;
LE COCCINELLE;Via Circonv.ne Maffei, n. 30/A;B&B;;;;;
CASA MIA;Via Gobbini, n. 20;B&B;;;;;
LE VALLI;Via Gobbini, n. 347;B&B;;;;;
I GIOGHI;Località Venturelli, n. 11;B&B;;;;;
LA TAMERICE;Via A. Murari, n. 97;B&B;;;;;
LE FARFALLE;Località Foroni, n. 56;B&B;;;;;
I VIGNETI;Casa Augusta, n. 1;B&B;;;;;
DOLCE VITA;Piazza della Repubblica, n. 1;B&B;;;;;
LA FINESTRA SUL FIUME;Corte Sega, n. 2 ;B&B;;;;;
PEGASO;Località Monte Mamaor, n. 9;B&B;;;;;
VALLEDIUM;Casa Casetta Croce, n. 6;B&B;;;;;
AL VECCHIO OLIVO;Località Pozzi, n. 42;B&B;;;;;
AL GAZEBO ;Casa Augusta, n. 5;B&B;;;;;
LA PESCADORA;Via Raffaello Sanzio, n. 19;B&B;;;;;
PESCHI IN FIORE;Località Campazzo, n. 42 A;B&B;;;;;
RELAIS BORGHETTO;Via Michelangelo Buonarroti, n. 4;B&B;;;;;
CA' DEL TIMO;Via Mario Massagrande, n. 4;B&B;;;;;
CORTE BERCELLI;Loc. Bercelli, n. 2 B;B&B;;;;;
