nome;via;Tipologia;gmap_address
Gardaland Hotel;Via Palù 1;Albergo;Via Palù, 1, 37014 Castelnuovo del Garda VR, Italia
InGarda Camere;Via S. Zeno, 1;Casa vacanza;Via S. Zeno, 1, 37014 Cavalcaselle VR, Italia
LA CORNICE DEL GARDA;Via Enzo Ferrari 78;Casa vacanza;Via Enzo Ferrari, 78, 37014 Cavalcaselle VR, Italia
Agriturismo Panorama;Via Zenati 13B;Agriturismo;Via Zenati, 13, 37014 Zenati VR, Italia
Kairos Garda Hotel;Via XXV Aprile 36;Albergo;Via XXV Aprile, 36, 37014 Cavalcaselle VR, Italia
Agriturismo La Molinalda;Via Spagnoi 17;Agriturismo;Via Spagnoi, 17, 37014 Castelnuovo del Garda VR, Italia
Hotel Gasparina;Via Gasparina 15;Albergo;Via Gasparina, 15, 37014 Castelnuovo del Garda VR, Italia
B&B I Germani;Via Mantovana 64;Bed and Breakfast;Via Mantovana, 64, 37014 Cavalcaselle VR, Italia
Agriturismo Bosco Del Gal;Via Costabella 2;Agriturismo;Via Costabella, 2, 37014 Castelnuovo del Garda VR, Italia
Love Lake Life;Vicolo Rossini, 12;Casa vacanza;Vicolo Gioacchino Rossini, 12, 37014 Ronchi VR, Italia
B&B L'Altro B&B;Via Mantovana 66;Bed and Breakfast;Via Mantovana, 66, 37014 Cavalcaselle VR, Italia
Appartamento zona Lago;Via Libretti 12;Casa vacanza;Via Sottotenente G. Libretti, 12, 37014 Oliosi VR, Italia
Albergo Tavernetta;Via XXV aprile 23;Albergo;Via XXV Aprile, 23, 37014 Cavalcaselle VR, Italia
Agriturismo La Palazzina;Via Palazzina 12;Agriturismo;Via Palazzina, 12, 37014 Castelnuovo del Garda VR, Italia
Locanda Bella Italia;Via Filiselle 16;Locanda;Via Filiselle, 16, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Bazzoli Vittorio 2;via P. Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
Alloggio vacanze Gardaselle - Cavalcaselle brescia;via xx settembre 4 ;Altre strutture extralberghiere;Via XX Settembre, 4, 37014 Cavalcaselle VR, Italia
B&B A Casa di Susi;Via Umberto I 23;Bed and Breakfast;Via Umberto I, 23, 37014 Castelnuovo del Garda VR, Italia
Il Colle;vie fiera 33;Altre strutture extralberghiere;Via Fiera, 33, 37014 Cavalcaselle VR, Italia
Green corner;Via Cignaroli 1;Altre strutture extralberghiere;Via Cignaroli, 1, 37014 Cavalcaselle VR, Italia
Gasparina Village;Via Gasparina 7A;Villaggio;Via Gasparina, 7, 37014 Castelnuovo del Garda VR, Italia
Albergo La Meridiana;Via Generale Zamboni SP27 3;Albergo;Via Generale Zamboni SP27, 3, 37014 Castelnuovo del Garda VR, Italia
Hotel Lo Scoglio;Via Venezia 16;Albergo;Via Venezia, 16, 37017 Confine VR, Italia
Agriturismo I Mischi;Via Mischi 4;Agriturismo;Via Mischi, 4, 37014 Mischi VR, Italia
B&B Corte del Garda;Via Testi 47;Bed and Breakfast;Via Testi, 47, 37014 Castelnuovo del Garda VR, Italia
Agriturismo Chesini;Via Belvedere 18;Agriturismo;Via Belvedere, 18, 37014 Cavalcaselle VR, Italia
appartamento garda lake;silani 48;Casa vacanza;Via Silani, 48, 37014 Silani VR, Italia
Agriturismo al Coppo;Via Brolo 12A;Agriturismo;Via Brolo, 12, 37014 Castelnuovo del Garda VR, Italia
Agriturismo Annacaterina;Via Crosara 4;Agriturismo;Via Crosara, 4, 37014 Castelnuovo del Garda VR, Italia
Agriturismo Corte Zenati;Via Zenati 9;Agriturismo;Via Zenati, 9, 37014 Zenati VR, Italia
Agriturismo Finilon;Via Finlon 7;Agriturismo;Località Fenilon, 37060 Sona VR, Italia
Active Hotel Paradiso & Golf;Via Coppo, 2B;Albergo;Via Coppo, 2B, 37014 Castelnuovo del Garda VR, Italia
Albergo Al Sole;Via Generale Zamboni SP27, 43;Albergo;Via Generale Zamboni SP27, 43, 37014 Sandrà VR, Italia
Hotel Campanello;Via Campanello, 7/9;Albergo;Via Campanello, 7/9, 37014 Castelnuovo del Garda VR, Italia
Hotel Corte Malaspina;Via Pastrengo, 115;Albergo;Via Pastrengo, 115, 37014 Sandrà VR, Italia
Mod 05 Living Hotel;Via Modigliani, 5;Albergo;Via Modigliani, 5, 37014 Sandrà VR, Italia
Parc Hotel;Via Brolo, 2A;Albergo;Via Brolo, 2, 37014 Castelnuovo del Garda VR, Italia
Residence Eden;Via Coppo 2A;Albergo;Via Coppo, 2, 37019 Peschiera del Garda VR, Italia
Alloggio Turistico Porticciolo;Via Campanello 28;Albergo;Via Campanello, 28, 37014 Peschiera del Garda VR, Italia
Appartamento all'angolo;Via XXV aprile 27;Altre strutture extralberghiere;Via XXV Aprile, 27, 37014 Cavalcaselle VR, Italia
Appartamento Miglietta;Via Forte Villa 11;Altre strutture extralberghiere;Via Forte VIlla, 11, Provincia di Verona, Italia
B&B Casa Marina;Via Paolonga 11;Bed and Breakfast;Via Paolonga, 11, Provincia di Verona, Italia
B&B Castelnuovo;Via Roma 7;Bed and Breakfast;Via Roma, 7, 37014 Castelnuovo del Garda VR, Italia
B&B Gardasee;Via Pozzetto 25;Bed and Breakfast;Via Pozzetto, 25, 37014 Castelnuovo del Garda VR, Italia
B&B la Rondine;Via Diaz 42;Bed and Breakfast;Via Diaz, 42, 37014 Castelnuovo del Garda VR, Italia
B&B sul Garda;Via Roma 5;Bed and Breakfast;Via Roma, 5, 37014 Castelnuovo del Garda VR, Italia
B&B Valcerea;Via Valcerea 3;Bed and Breakfast;Via Valcerea, 3, 37014 Castelnuovo del Garda VR, Italia
Belvedere Village;Via Giovanni Paolo II, 3;Residence;Via Giovanni Paolo II, 3, 37014 Castelnuovo del Garda VR, Italia
Campeggio del Garda Village and Camping;Via Marzan;Campeggio;Via Marzan, 37019 Peschiera del Garda VR, Italia
Campeggio Gasparina;Via Gasparina 13;Campeggio;Via Gasparina, 13, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Bazzoli Vittorio 1;Via Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
CA, BERT VILLA DEI GLICINI - LOC TUR Bertoldi Gaetano ;Via Corobbi 3;Altre strutture extralberghiere;Via Corobbi, 3, 37014 Sandrà VR, Italia
Locazione Turistica Errica Elisa;Via Zuccotti 5;Altre strutture extralberghiere;Via Zuccotti, 5, 37014 Zuccotti VR, Italia
Locazione Turistica Iannazzo Giordano;Via Isonzo 16;Altre strutture extralberghiere;Via Isonzo, 16, 37014 Sandrà VR, Italia
Locazione Turistica Lonardi Paolo;Via Polderin 8;Altre strutture extralberghiere;Via Polderin, 8, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Marconi Umberta 1;Via XX Settembre 3;Altre strutture extralberghiere;Via XX Settembre, 3, 37014 Cavalcaselle VR, Italia
Locazione Turistica Montagnana Paolo;Via Silani 48;Altre strutture extralberghiere;Via Silani, 48, 37014 Silani VR, Italia
Locazione Turistica OpenLab;Via Milano 79;Altre strutture extralberghiere;Via Milano, 79, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Strasser Stefan;Via Gasparina 8;Altre strutture extralberghiere;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Ubini Carlo;Via Dante 26;Altre strutture extralberghiere;Via Dante Alighieri, 26, 37014 Cavalcaselle VR, Italia
Appartamento Quadrivium;Via Giovanni Paolo II, 8;Casa vacanza;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
Appartamento La Corte;VIA RONCHI 16/21;Casa vacanza;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
LOCAZIONE TURISTICA MARIOLINA;VIA STAZIONE, 22;Casa vacanza;Via Stazione, 22, 37014 Castelnuovo del Garda VR, Italia
B&B da Miriam;Via Bragatton 4;Bed and Breakfast;Via Bragatton, 4, 37014 Castelnuovo del Garda VR, Italia
Villa Montenero;San Lorenzo 7;Affittacamere;Via S. Lorenzo, 7, 37014 Castelnuovo del Garda VR, Italia
ALLOGGIO TURISTICO LA PALAZZINA;BELVEDERE;Affittacamere;Via Giovanni Paolo II, 4, 37014 Cavalcaselle , Castelnuovo del Garda VR, Italia
Locazione turistica Ubini Pietro;Alighieri 26 ;Altre strutture extralberghiere;Via Dante Alighieri, 26, 37014 Cavalcaselle VR, Italia
Alloggio vacanze Gardaselle - Cavalcaselle verona;xx settembre 4;Altre strutture extralberghiere;Via XX Settembre, 4, 37014 Cavalcaselle VR, Italia
Be my Romeo;Piazza Angelini 13;Altre strutture extralberghiere;Piazza Angelini, 13, 37014 Castelnuovo del Garda VR, Italia
Appartamento La Corte (int.6);VIA RONCHI 16/6;Casa vacanza;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Bazzoli Vittorio 3;via P. Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
LA MAISON DE MELY;Via Fontanelle n. 4;Casa vacanza;Via Fontanelle, 4, 37014 Sandrà VR, Italia
CASA NATIA SALARDI SILVANA;Via San Zeno 25;Altre strutture extralberghiere;Via S. Zeno, 25, 37014 Cavalcaselle VR, Italia
