Nome struttura;Indirizzo;Tipo struttura;Note
AGRITURISMO CAMPARELLA DI DESTO DANIELA;Località  Campara;B&B;
AGRITURISMO SAMBUCO DI BOTTARO GIANANDREA;Via Sambuco;B&B;
AGRITURISMO SERENA (AGRICAMPEGGIO);Via Carlotte;B&B;
RELAIS FORTE BENEDEK;VIA MORSELLA;B&B;
HOTEL LA CARICA;Via Rovereto;Alberghiero;
LA CARICA (DIPENDENZA);Via Rovereto;Alberghiero;
VILLA PADOVANI DIMORA STORICA;VIA PIOVEZZANO VECCHIA;B&B;
B&B VIVA SOLUTION;Via Vittorio Veneto;B&B;
AD SIDERA;piazza Carlo Alberto;B&B;
B&B BED LE TERRAZZE;VIA ROVERETO;B&B;
BED & BREAKFAST LAURA;VIA TACCONI;B&B;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
